"","stat.Text","stat.label"
"116","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"117","PRESIDENTTRUMP beat up on poor little ChuckSchumer Shame he should try and make nice and work togetherSCHUMER WILL NEVER COOPERATE","neutral"
"118","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"119","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"120","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump","positive"
"121","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"122","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"123","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"124","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"125","PresidentTrumpMikePence
VP Pence America Is BackQdIZXBTWTrumpRally MAGA tcot PJNET","neutral"
"126","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"127","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the","negative"
"128","PresidentTrump
Intellectual FroglegsDay Edition fun
KmSOzcQfuMAGA tcot PJNET","neutral"
"129","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"130","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst","negative"
"131","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"132","PresidentTrump
MLKs Niece Calls Trumps FirstDays the Most ProLife Shes Ever Seen video
JHugVGam
tcot PJNET","neutral"
"133","SpecialElection MAGAThis Tuesday SCElect The Candidate Supporting PresidentTrump","positive"
"134","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"135","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"136","Watch Live PresidentTrump Holds FirstDays Rally in Harrisburg PABreitbart VOoDKkQGCT","neutral"
"137","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"138","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"139","PresidentTrump
Video President Trumps FirstDays
hDszDwphUtcot PJNET","neutral"
"140","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"141","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"142","PresidentTrump
Donald J Trump opinion In my firstdays I kept my promise to Americans yzmqKDrH","positive"
"143","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"144","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"145","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"146","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"147","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"148","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"149","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"150","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst","negative"
"151","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"152","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"153","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"154","Just amazing but completely expected They American people the patriots of our nation LOVE OUR PresidentTrump Gods ble","positive"
"155","PresidentTrump PennsylvaniaVP MikePence Under President Donald Trump the War on Coal Is Over
ecM","positive"
"156","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"157","PresidentTrump
CTHPrescient DC Lobbyists Talk Trump the end of life as we know it here
PcHeOEVXQ
tcot PJNET","positive"
"158","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"159","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"160","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"161","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"162","PresidentTrump PennsylvaniaVP MikePence Under President Donald Trump the War on Coal Is Over
ecM","positive"
"163","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"164","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"165","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"166","PresidentTrumpTrumpRally
Mocks WHCD Hollywood ActorsWashington Media Are Consoling Each Other","neutral"
"167","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"168","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"169","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"170","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"171","PresidentTrumpForeignPolicy
China Unexpectedly Returns US Citizen Just Days After Conviction
WjzLpdECRZ
tcot PJNET","negative"
"172","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"173","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"174","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"175","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"176","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"177","PresidentTrumpForeignPolicy
CTH Russia BlinksLavrov Says Ready To Cooperate w US on Syria
ydynJQUv
tcot PJNET","positive"
"178","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the","negative"
"179","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"180","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"181","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"182","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"183","PresidentTrump
CTH President Trumps Rally Brilliantly Triggers the Medias Borderline Personality Psychosis
gzPojQvtb
tcot","positive"
"184","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"185","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"186","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"187","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"188","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"189","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"190","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them with the","negative"
"191","PresidentTrumpTrumpRally
Mocks WHCD Hollywood ActorsWashington Media Are Consoling Each Other","neutral"
"192","PresidentTrumpTrumpRally
CTH Harrisburg RallyPlaybackThread
eWDGYVepyMAGA tcot PJNET","neutral"
"193","Heres why I voted TrumpVOTING PresidentTrump inJoin TrumpsArmy America is worth fighting for MAGA","neutral"
"194","I SINCERELY hope Hahn is representative of DemLeftist thinking PresidentTrump will win reelection in a LANDSLIDE JudgeJeanine MAGA","positive"
"195","PresidentTrumpTrumpRallyDonald Trump ChuckSchumer Leading Democrats to Doom
NHDgwqhRcsMAGA","positive"
"196","PresidentTrumpPennsylvania MAGAPOTUSVP MikePenceHarrisburg PA Rally pm EST
BUANzzJgN","neutral"
"197","You are the MAN PresidentTrump No cowering before liberal leftist media elites from you instead you slam them w myREPmzU","negative"
"198","Just amazing but completely expected They American people the patriots of our nation LOVE OUR PresidentTrump Gods ble","positive"
"199","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"200","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"201","PresidentTrump YOU ARE AWES","neutral"
"202","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"203","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"204","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"205","PresidentTrump PennsylvaniaVP MikePence Under President Donald Trump the War on Coal Is Over
ecMfWDCC
tcot PJNET","positive"
"206","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"207","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"208","We dont need to hear our PresidentTrump lambasted and not be able to do anything about it Looking forward to a great Ra","neutral"
"209","Sorry not interested in FakeNews HollywoodBtw most were watching PresidentTrumps FirstDays a","negative"
"210","PresidentTrumpTrumpRally
Mocks WHCD Hollywood ActorsWashington Media Are Consoling Each Other
meXNQSVgr
tcot","neutral"
"211","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"212","I was crying watching him walk out I couldnt be prouder of PresidentTrump Thank you Harrisburg Pen","positive"
"213","Thats right President Trump The MSM is not going to control us They cant brainwash usPresidentTrump uMreJznt","neutral"
"214","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"215","PresidentTrumpNationalSecurity
Why Trump is right ISIS forging Iraqi passports
xCuhMGtcot P","positive"
"216","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"217","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"218","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"219","How about Traitorto AmericaWeThePeoplePresidentTrumpDamn GOPe RINO","neutral"
"220","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"221","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"222","Did they mention thisWHCDTrumpRally NotTheWHCD PresidentTrump BestPresidentEverAMJoy KPJqlQK","neutral"
"223","Congratulations PresidentTrump on your Firstdays We are so proud of you in every way
AmericaFirst Nationalist","positive"
"224","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"225","THE GENOCIDE MUST STOP THE UNBORN HAS RIGHTS MarchForLife DefundPlannedParenthood PresidentTrump MakeAmericaGrea","negative"
"226","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"227","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"228","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"229","PresidentTrumpTrumpRallyDonald Trump ChuckSchumer Leading Democrats to Doom
NHDgwqhRcsMAGA tcot PJNET","positive"
"230","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"231","Weve reached the first days of PresidentTrump and Im ever so grateful that this thingisnt anyones President","positive"
"232","Lets get back to work America
PresidentTrumps daysAmericaIsBackAmericaFirst","positive"
"233","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"234","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"235","PresidentTrump YOU ARE AWES","neutral"
"236","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"237","PresidentTrumpat NRAconventionyear assault on gun rights is overTrumpAmericaIsBackAAmericaFirst","negative"
"238","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"239","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"240","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"241","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"242","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"243","MTPresidentTrump families want to know will you KeepYourPromise to StopCommonCore yMdJgegGH PJNET","neutral"
"244","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"245","Just amazing but completely expected They American people the patriots of our nation LOVE OUR PresidentTrump Gods ble","positive"
"246","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"247","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"248","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"249","He is a chion of the people in every wayLove PresidentTrump","neutral"
"250","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"251","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"252","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"253","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
"254","PresidentTrump YOU ARE AWES","neutral"
"255","Yes our PresidentTrump ROCKS vImjlhlyJH","neutral"
"256","Enough said
TrumpMAGAPresidentTrump cgZzdRCLQu","positive"
"257","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"258","The yr assault on your nd Amendment freedoms has come to a crashing endPresidentTrumpMAGA Trump A","neutral"
"259","Sorry not interested in FakeNews HollywoodBtw most were watching PresidentTrumps FirstDays a","negative"
"260","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"261","PresidentTrump We will make AmericaSafeAgainwe will MAGAThank youGodblessyouAmericaIsBackAmericaFirs","neutral"
"262","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"263","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"264","Dear God
Thank you for answering our prayers
A grateful NationGodBlessAmerica PresidentTrump ElectionDay","positive"
"265","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"266","Dont ever forget the lifestyle PresidentTrump gave up to MAGA not mention his family He did it for usFirstDays T","negative"
"267","FirstDaysThis short video shows some of the executive orders PresidentTrump signed in his first DaysTheTr","neutral"
